id;wkt
21;POLYGON((-875047.567135455 -1026769.3202403553, -867880.2081445489 -1008097.7117104112, -867555.4352671368 -1008225.6431490196, -875047.567135455 -1026769.3202403553))
22;POLYGON((-875047.567135455 -1026769.3202403553, -867555.4352671368 -1008225.6431490196, -867232.9445656695 -1008359.2231713065, -875047.567135455 -1026769.3202403553))
23;POLYGON((-875047.567135455 -1026769.3202403553, -867232.9445656695 -1008359.2231713065, -866912.834273939 -1008498.4110875033, -875047.567135455 -1026769.3202403553))
24;POLYGON((-875047.567135455 -1026769.3202403553, -866912.834273939 -1008498.4110875033, -866595.201900641 -1008643.1644996223, -875047.567135455 -1026769.3202403553))
25;POLYGON((-875047.567135455 -1026769.3202403553, -866595.201900641 -1008643.1644996223, -866280.1441996734 -1008793.439314372, -875047.567135455 -1026769.3202403553))
26;POLYGON((-875047.567135455 -1026769.3202403553, -866280.1441996734 -1008793.439314372, -865967.757140664 -1008949.189756588, -875047.567135455 -1026769.3202403553))
27;POLYGON((-875047.567135455 -1026769.3202403553, -865967.757140664 -1008949.189756588, -865658.1358797372 -1009110.3683831767, -875047.567135455 -1026769.3202403553))
28;POLYGON((-875047.567135455 -1026769.3202403553, -865658.1358797372 -1009110.3683831767, -865351.3747305282 -1009276.9260975674, -875047.567135455 -1026769.3202403553))
29;POLYGON((-875047.567135455 -1026769.3202403553, -865351.3747305282 -1009276.9260975674, -865047.567135455 -1009448.8121646666, -875047.567135455 -1026769.3202403553))
30;POLYGON((-875047.567135455 -1026769.3202403553, -865047.567135455 -1009448.8121646666, -864746.8056372539 -1009625.9742263131, -875047.567135455 -1026769.3202403553))
31;POLYGON((-875047.567135455 -1026769.3202403553, -864746.8056372539 -1009625.9742263131, -864449.1818507909 -1009808.3583172269, -875047.567135455 -1026769.3202403553))
32;POLYGON((-875047.567135455 -1026769.3202403553, -864449.1818507909 -1009808.3583172269, -864154.7864351544 -1009995.9088814468, -875047.567135455 -1026769.3202403553))
33;POLYGON((-875047.567135455 -1026769.3202403553, -864154.7864351544 -1009995.9088814468, -863863.70906604 -1010188.5687892545, -875047.567135455 -1026769.3202403553))
34;POLYGON((-875047.567135455 -1026769.3202403553, -863863.70906604 -1010188.5687892545, -863576.038408434 -1010386.2793545754, -875047.567135455 -1026769.3202403553))
35;POLYGON((-875047.567135455 -1026769.3202403553, -863576.038408434 -1010386.2793545754, -863291.8620896055 -1010588.9803528563, -875047.567135455 -1026769.3202403553))
36;POLYGON((-875047.567135455 -1026769.3202403553, -863291.8620896055 -1010588.9803528563, -863011.266672414 -1010796.6100394095, -875047.567135455 -1026769.3202403553))
37;POLYGON((-875047.567135455 -1026769.3202403553, -863011.266672414 -1010796.6100394095, -862734.3376289418 -1011009.1051682209, -875047.567135455 -1026769.3202403553))
38;POLYGON((-875047.567135455 -1026769.3202403553, -862734.3376289418 -1011009.1051682209, -862461.1593144583 -1011226.4010112159, -875047.567135455 -1026769.3202403553))
39;POLYGON((-875047.567135455 -1026769.3202403553, -862461.1593144583 -1011226.4010112159, -862191.8149417242 -1011448.4313779757, -875047.567135455 -1026769.3202403553))
40;POLYGON((-875047.567135455 -1026769.3202403553, -862191.8149417242 -1011448.4313779757, -861926.3865556448 -1011675.1286358999, -875047.567135455 -1026769.3202403553))
41;POLYGON((-875047.567135455 -1026769.3202403553, -861926.3865556448 -1011675.1286358999, -861664.9550082778 -1011906.4237308075, -875047.567135455 -1026769.3202403553))
42;POLYGON((-875047.567135455 -1026769.3202403553, -861664.9550082778 -1011906.4237308075, -861407.599934205 -1012142.2462079719, -875047.567135455 -1026769.3202403553))
43;POLYGON((-875047.567135455 -1026769.3202403553, -861407.599934205 -1012142.2462079719, -861154.399726275 -1012382.5242335823, -875047.567135455 -1026769.3202403553))
